2021-05-24 12:43:10,330 - HyperTuner_objective - INFO - ObjValue=-0.6824944019 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 447, 'epoch': 3, 'hidden_size': 449, 'lr': 0.7406471423269038}
2021-05-24 12:43:11,312 - HyperTuner_objective - INFO - ObjValue=-0.6775643826 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 473, 'epoch': 1, 'hidden_size': 465, 'lr': 1.3948383651278868}
2021-05-24 12:43:12,376 - HyperTuner_objective - INFO - ObjValue=-0.7160924673 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 447, 'epoch': 1, 'hidden_size': 463, 'lr': 0.6878169756566982}
2021-05-24 12:43:14,264 - HyperTuner_objective - INFO - ObjValue=-0.6972596645 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 488, 'epoch': 2, 'hidden_size': 455, 'lr': 0.8304548872313828}
2021-05-24 12:43:17,986 - HyperTuner_objective - INFO - ObjValue=-0.6725219488 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 485, 'epoch': 4, 'hidden_size': 439, 'lr': 0.5126443348680312}
2021-05-24 12:43:19,959 - HyperTuner_objective - INFO - ObjValue=-0.7086215615 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 429, 'epoch': 2, 'hidden_size': 464, 'lr': 1.252352369017426}
2021-05-24 12:43:22,035 - HyperTuner_objective - INFO - ObjValue=-0.7084482312 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 457, 'epoch': 2, 'hidden_size': 476, 'lr': 0.6890852012138957}
2021-05-24 12:43:25,935 - HyperTuner_objective - INFO - ObjValue=-0.6687678099 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 417, 'epoch': 4, 'hidden_size': 457, 'lr': 0.8023844786133264}
2021-05-24 12:43:27,707 - HyperTuner_objective - INFO - ObjValue=-0.7086582780 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 482, 'epoch': 2, 'hidden_size': 474, 'lr': 0.6077328502092799}
2021-05-24 12:43:30,440 - HyperTuner_objective - INFO - ObjValue=-0.6776162386 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 501, 'epoch': 3, 'hidden_size': 461, 'lr': 1.4822722273453726}
2021-05-24 12:43:33,221 - HyperTuner_objective - INFO - ObjValue=-0.6836861968 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 494, 'epoch': 3, 'hidden_size': 468, 'lr': 1.4767952479378537}
2021-05-24 12:43:34,875 - HyperTuner_objective - INFO - ObjValue=-0.7073298097 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 446, 'epoch': 2, 'hidden_size': 448, 'lr': 1.4508023130029861}
2021-05-24 12:43:38,237 - HyperTuner_objective - INFO - ObjValue=-0.2644599676 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 453, 'epoch': 3, 'hidden_size': 472, 'lr': 1.3563974071356792}
2021-05-24 12:43:39,078 - HyperTuner_objective - INFO - ObjValue=-0.6931358576 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 470, 'epoch': 1, 'hidden_size': 442, 'lr': 0.9292019483136819}
2021-05-24 12:43:39,936 - HyperTuner_objective - INFO - ObjValue=-0.7036338449 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 465, 'epoch': 1, 'hidden_size': 458, 'lr': 0.8508627460318395}
2021-05-24 12:43:40,914 - HyperTuner_objective - INFO - ObjValue=-0.7155548334 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 498, 'epoch': 1, 'hidden_size': 466, 'lr': 0.9840641571176997}
2021-05-24 12:43:41,833 - HyperTuner_objective - INFO - ObjValue=-0.7216815352 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 445, 'epoch': 1, 'hidden_size': 456, 'lr': 0.93113330852294}
2021-05-24 12:43:45,293 - HyperTuner_objective - INFO - ObjValue=-0.6613641381 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 470, 'epoch': 4, 'hidden_size': 463, 'lr': 1.2670425934847378}
2021-05-24 12:43:48,836 - HyperTuner_objective - INFO - ObjValue=-0.6618438363 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 413, 'epoch': 4, 'hidden_size': 456, 'lr': 0.6744198424416287}
2021-05-24 12:43:49,830 - HyperTuner_objective - INFO - ObjValue=-0.6846928596 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 420, 'epoch': 1, 'hidden_size': 474, 'lr': 1.29116552437707}
2021-05-24 12:43:50,764 - HyperTuner_objective - INFO - ObjValue=-0.7171990871 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 445, 'epoch': 1, 'hidden_size': 469, 'lr': 1.0993528600161582}
